Steps, Time,,,,,,Steps, Time
25,0.004999876,,,,,,20,0.003999949
25,0.184000015,,,,,,23,0.034999847
25,0.108999968,,,,,,24,0.01699996
25,0.174000025,,,,,,25,0.104000092
25,0.052999973,,,,,,21,0.029999971
25,0.115999937,,,,,,22,0.032999992
25,0.229000092,,,,,,17,0.019000053
25,0.131000042,,,,,,26,0.086999893
25,0.05099988,,,,,,25,0.029999971
25,0.087000132,,,,,,27,0.342000008
25,0.10800004,,,,,,27,0.06400013
25,0.103000164,,,,,,26,0.15199995
25,0.095999956,,,,,,28,0.121999979
25,0.203999996,,,,,,24,0.128999949
25,0.254999876,,,,,,23,0.036000013
25,0.442000151,,,,,,23,0.038999796
25,0.194000006,,,,,,24,0.039999962
25,0.237999916,,,,,,24,0.157000065
25,0.251000166,,,,,,21,0.059000015
25,0.122000217,,,,,,26,0.161999941
25,0.163000107,,,,,,25,0.112999916
25,0.040999889,,,,,,28,0.307999849
25,0.072999954,,,,,,23,0.023999929
25,0.108999968,,,,,,14,0.005000114
25,0.080999851,,,,,,21,0.013000011
25,0.021000147,,,,,,23,0.077000141
25,0.201999903,,,,,,24,0.049000025
25,0.140000105,,,,,,16,0.017000198
25,0.160000086,,,,,,24,0.031000137
25,0.098999977,,,,,,21,0.036999941
25,0.230000019,,,,,,26,0.075000048
25,0.353999853,,,,,,23,0.019000053
25,0.09800005,,,,,,20,0.036000013
25,0.191999912,,,,,,23,0.02699995
25,0.092999935,,,,,,27,0.047999859
25,0.172999859,,,,,,23,0.187999964
25,0.074999809,,,,,,26,0.441000223
25,0.065000057,,,,,,26,0.069000006
25,0.052999973,,,,,,29,0.204999924
25,0.021999836,,,,,,19,0.011000156
25,0.118999958,,,,,,26,0.499000072
25,0.053999901,,,,,,22,0.025000095
25,0.590000153,,,,,,23,0.026000023
25,0.071000099,,,,,,18,0.026000023
25,0.109999895,,,,,,21,0.092000008
25,0.187999964,,,,,,18,0.008000135
25,0.486000061,,,,,,18,0.023000002
25,0.174000025,,,,,,21,0.006999969
25,0.187000036,,,,,,12,0.003000021
26,0.115999937,0.235151493,26,,,,27,0.128000021
26,0.057999849,,,,,,27,0.092999935
26,0.493000031,,,,,,19,0.00999999
26,0.322999954,,,,,,22,0.04399991
26,0.239999771,,,,,,21,0.005000114
26,0.263999939,,,,,,17,0.003000021
26,0.163999796,,,,,,26,0.019000053
26,0.186999798,,,,,,24,0.059000015
26,0.16899991,,,,,,27,0.26699996
26,0.200000048,,,,,,24,0.114000082
26,0.156999826,,,,,,20,0.082000017
26,0.255000114,,,,,,29,0.114000082
26,0.621000051,,,,,,19,0.011999846
26,0.120000124,,,,,,27,0.165999889
26,0.113000154,,,,,,23,0.038999796
26,0.346999884,,,,,,20,0.023000002
26,0.229000092,,,,,,24,0.099999905
26,0.180999994,,,,,,22,0.273999929
26,0.130000114,,,,,,19,0.012000084
26,0.350000143,,,,,,23,0.258999825
26,0.328999996,,,,,,24,0.046000004
26,0.253000021,,,,,,21,0.034000158
26,0.177999973,,,,,,26,0.178999901
26,0.092000008,,,,,,20,0.016000032
26,0.263000011,,,,,,26,0.261000156
26,0.129999876,,,,,,25,0.059000015
26,0.239000082,,,,,,23,0.026000023
26,0.042999983,,,,,,25,0.094000101
26,0.687999964,,,,,,24,0.053000212
26,0.200000048,,,,,,22,0.055999994
26,0.126999855,,,,,,25,0.236999989
26,0.319999933,,,,,,29,1.088000059
26,0.180999994,,,,,,25,0.136999846
27,0.055999994,0.222232586,27,,,,23,0.01699996
27,0.226999998,,,,,,23,0.048000097
27,0.105000019,,,,,,21,0.01699996
27,0.069000006,,,,,,21,0.005000114
27,0.882999897,,,,,,20,0.046000004
27,0.282999992,,,,,,23,0.062000036
27,0.473999977,,,,,,22,0.044000149
27,0.04700017,,,,,,19,0.011999846
27,0.088000059,,,,,,25,0.105000019
27,0.149000168,,,,,,27,0.328000069
27,0.246999979,,,,,,25,0.023999929
27,0.992000103,,,,,,19,0.047999859
27,0.111999989,,,,,,20,0.023999929
27,0.437999964,,,,,,19,0.027999878
27,0.328999996,,,,,,25,0.162999868
27,0.055999994,,,,,,22,0.150000095
27,0.079999924,,,,,,20,0.006000042
27,0.243999958,,,,,,17,0.013000011
27,0.197999954,,,,,,19,0.026000023
27,0.133000135,,,,,,20,0.036999941
27,0.140000105,,,,,,25,0.22300005
27,0.217000008,,,,,,21,0.049000025
27,0.154999971,,,,,,21,0.026000023
27,0.31099987,,,,,,23,0.086999893
27,0.29399991,,,,,,21,0.004999876
27,0.648999929,,,,,,24,0.036999941
27,0.157000065,,,,,,22,0.118999958
27,0.06400013,,,,,,23,0.095999956
27,0.158000231,,,,,,16,0.003000021
27,0.113000154,,,,,,24,0.085999966
27,0.25999999,,,,,,24,0.011000156
27,0.195999861,,,,,,21,0.026000023
27,0.052000046,,,,,,26,0.174999952
27,0.167999983,,,,,,24,0.038999796
27,0.087000132,,,,,,23,0.030999899
27,0.162000179,,,,,,24,0.076000214
27,0.019999981,,,,,,25,0.094000101
27,0.231000185,,,,,,23,0.022000074
27,0.136000156,,,,,,19,0.011999846
27,0.148000002,,,,,,20,0.021000147
27,0.407000065,,,,,,19,0.013000011
27,0.105999947,,,,,,27,0.072999954
27,0.11500001,,,,,,17,0.004000187
28,0.197999954,0.475352946,28,,,,27,0.072999954
28,0.687999964,,,,,,26,0.541000128
28,1.095000029,,,,,,26,0.075999975
28,0.180999994,,,,,,20,0.03399992
28,0.171000004,,,,,,21,0.128999949
28,0.332999945,,,,,,23,0.014999866
28,0.305000067,,,,,,21,0.027999878
28,1.606000185,,,,,,20,0.042000055
28,0.242000103,,,,,,21,0.006000042
28,0.671000004,,,,,,26,0.164000034
28,0.305000067,,,,,,20,0.016000032
28,0.09499979,,,,,,20,0.069000006
28,0.036999941,,,,,,22,0.065999985
28,0.350999832,,,,,,27,0.405999899
28,0.850000143,,,,,,19,0.011999846
28,0.736999989,,,,,,22,0.010999918
28,0.21600008,,,,,,21,0.032000065
29,1.821000099,0.839249998,29,,,,29,0.223999977
29,0.31799984,,,,,,23,0.112999916
29,0.423000097,,,,,,21,0.01699996
29,0.214999914,,,,,,25,0.309999943
29,0.726000071,,,,,,24,0.024999857
29,0.881999969,,,,,,21,0.056999922
29,0.85800004,,,,,,29,0.357999802
29,1.470999956,,,,,,23,0.061000109
30,0.516000032,0.516000032,30,,,,26,0.146000147
31,0.966999769,0.966999769,31,,,,24,0.077000141
,,,,,,,25,0.022000074
,,,,,,,22,0.040999889
